nama_upt,jenis_upt,provinsi,kanwil,latitude,longitude,coordinate_quality,aktif,catatan_verifikasi
Lapas Kelas IIA Banda Aceh,Lapas,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIA Lhok Seumawe,Lapas,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Bireun,Lapas,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Blangkejeren,Lapas,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Blangpidie,Lapas,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Idi,Lapas,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Kota Bakti,Lapas,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Kuala Simpang,Lapas,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Kutacane,Lapas,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Langsa,Lapas,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Lhoksukon,Lapas,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas IIB Meulaboh,Lapas,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas III Calang,Lapas,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas III Lhok Nga,Lapas,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Kelas III Sinabang,Lapas,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Narkotika Kelas IIB Langsa,Lapas,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Lapas Perempuan Kelas IIB Sigli,Lapas,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Banda Aceh,Rutan,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
Rutan Kelas IIB Bener Meriah,Rutan,Aceh,,,,,True,Provinsi bersumber dari daftar lama; verifikasi sebelum penggunaan resmi.
