nama_upt,jenis_upt,kelas_upt,subjenis_upt,provinsi,kanwil,kabupaten_kota,alamat,latitude,longitude,coordinate_quality,coordinate_source,coordinate_score,location_hint,aktif,catatan_verifikasi
Lapas Kelas IIA Banda Aceh,Lapas,IIA,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Kota Banda Aceh,,5.554926868197542,95.35661408701579,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BANDA ACEH,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Lhok Seumawe,Lapas,IIA,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Kota Lhokseumawe,,5.202364323877331,97.04239246196094,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,LHOKSEUMAWE,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Bireun,Lapas,IIB,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Bireuen,,5.0827404,96.5921211980314,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,BIREUEN,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Blangkejeren,Lapas,IIB,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Gayo Lues,,3.97759925,97.33206765898427,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,GAYO LUES,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Blangpidie,Lapas,IIB,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Aceh Barat Daya,,3.8335897,96.85161542787151,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,ACEH BARAT DAYA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Idi,Lapas,IIB,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Pidie Jaya,,5.10477095,96.21166763608278,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,IDI,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Kota Bakti,Lapas,IIB,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Pidie Jaya,,5.10477095,96.21166763608278,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,PIDIE,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Kuala Simpang,Lapas,IIB,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Aceh Tamiang,,4.212262450000001,97.91471113604223,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,ACEH TAMIANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Kutacane,Lapas,IIB,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Aceh Tenggara,,3.338797,97.74564237389382,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,ACEH TENGGARA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Langsa,Lapas,IIB,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Kota Langsa,,4.468682665859419,97.89864952250001,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,LANGSA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Lhoksukon,Lapas,IIB,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Aceh Utara,,4.99119405,97.1587368058996,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,ACEH UTARA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Meulaboh,Lapas,IIB,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Aceh Barat Daya,,3.8335897,96.85161542787151,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,ACEH BARAT,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas III Calang,Lapas,III,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Aceh Jaya,,4.811484399999999,95.70019149086998,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,ACEH JAYA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas III Lhok Nga,Lapas,III,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Aceh Besar,,5.3542491000000005,95.49615075465553,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,ACEH BESAR,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas III Sinabang,Lapas,III,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Simeulue,,2.6290312,96.02207792472555,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,SIMEULUE,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Narkotika Kelas IIB Langsa,Lapas,IIB,Narkotika,Aceh,Kantor Wilayah Ditjenpas Aceh,Kota Langsa,,4.468682665859419,97.89864952250001,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,LANGSA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Perempuan Kelas IIB Sigli,Lapas,IIB,Perempuan,Aceh,Kantor Wilayah Ditjenpas Aceh,Pidie Jaya,,5.10477095,96.21166763608278,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,PIDIE,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
